Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,,true,REQUIRED,Werden in deiner App erforderliche Nutzerdaten erhoben oder geteilt?
PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT,,true,MAYBE_REQUIRED,"Werden alle Nutzerdaten, die in deiner App erhoben werden, bei der Übertragung verschlüsselt?"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD,,MULTIPLE_CHOICE,Welche der folgenden Methoden zur Kontoerstellung werden von deiner App unterstützt? Wähle alle zutreffenden Antworten aus. / Nutzername und Passwort
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_OTHER_AUTH,true,MULTIPLE_CHOICE,Welche der folgenden Methoden zur Kontoerstellung werden von deiner App unterstützt? Wähle alle zutreffenden Antworten aus. / Nutzername und andere Authentifizierung
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD_OTHER_AUTH,,MULTIPLE_CHOICE,"Welche der folgenden Methoden zur Kontoerstellung werden von deiner App unterstützt? Wähle alle zutreffenden Antworten aus. / Nutzername, Passwort und andere Authentifizierung"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OAUTH,true,MULTIPLE_CHOICE,Welche der folgenden Methoden zur Kontoerstellung werden von deiner App unterstützt? Wähle alle zutreffenden Antworten aus. / OAuth
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OTHER,,MULTIPLE_CHOICE,Welche der folgenden Methoden zur Kontoerstellung werden von deiner App unterstützt? Wähle alle zutreffenden Antworten aus. / Sonstiger
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_NONE,,MULTIPLE_CHOICE,Welche der folgenden Methoden zur Kontoerstellung werden von deiner App unterstützt? Wähle alle zutreffenden Antworten aus. / Nutzer können in meiner App kein Konto erstellen
PSL_ACM_SPECIFY,,,MAYBE_REQUIRED,"Beschreibe die Methode zur Kontoerstellung, die von deiner App unterstützt wird"
PSL_ACCOUNT_DELETION_URL,,https://github.com/skroll-dev/diary/blob/main/doc/appstore/privacy.md,MAYBE_REQUIRED,"Füge einen Link hinzu, über den Nutzer das Löschen ihres Kontos und der zugehörigen Daten anfordern können "
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_YES,,SINGLE_CHOICE,"Können Nutzer bei dir anfordern, dass ihre Daten gelöscht werden? / Ja"
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO,true,SINGLE_CHOICE,"Können Nutzer bei dir anfordern, dass ihre Daten gelöscht werden? / Nein"
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO_AUTO_DELETED,,SINGLE_CHOICE,"Können Nutzer bei dir anfordern, dass ihre Daten gelöscht werden? / Nein, aber Nutzerdaten werden innerhalb von 90 Tagen automatisch gelöscht"
PSL_DATA_DELETION_URL,,,MAYBE_REQUIRED,URL zum Löschen von Daten
PSL_DATA_COLLECTION_COMPLIES_FAMILY_POLICY,,,OPTIONAL,"Beantworte diese Frage nur, wenn du angegeben hast, dass die Zielaltersgruppe deiner App Kinder umfasst oder wenn du am Designed for Families-Programm teilnimmst. Wenn eine der obigen Angaben zutrifft, musst du die Richtlinie für familienfreundliche Inhalte von Google Play (https://support.google.com/googleplay/android-developer/answer/9893335) einhalten. Möchtest du das den Nutzern im Abschnitt zur Datensicherheit in deinem Store-Eintrag mitteilen?"
PSL_INDEPENDENTLY_VALIDATED,,,OPTIONAL,"Hat deine App eine unabhängige Sicherheitsprüfung laut Framework für Mobile Application Security Assessment (MASA) bestanden? Antworte nur mit „Ja“, wenn bei der Prüfung ein einwandfreies Ergebnis erzielt wurde."
PSL_UPI_BADGE_OPT_IN,,,OPTIONAL,Soll dieses Logo in deinem Store-Eintrag angezeigt werden?
PSL_HAS_OUTSIDE_APP_ACCOUNTS,,,OPTIONAL,"Können sich Nutzer mit Konten anmelden, die außerhalb der App erstellt wurden?"
PSL_OUTSIDE_APP_ACCOUNT_TYPES,PSL_LOGIN_WITH_OUTSIDE_APP_ID,,MULTIPLE_CHOICE,"Wie werden diese Konten erstellt? / Identifikation außerhalb der App (z. B. SIM-Bindung, Abo für Dienste)"
PSL_OUTSIDE_APP_ACCOUNT_TYPES,PSL_LOGIN_THROUGH_EMPLOYMENT_OR_ENTERPRISE_ACCOUNT,,MULTIPLE_CHOICE,Wie werden diese Konten erstellt? / Über ein Unternehmen (Arbeitskonto)
PSL_OUTSIDE_APP_ACCOUNT_TYPES,PSL_OUTSIDE_APP_ACCOUNT_TYPE_OTHER,,MULTIPLE_CHOICE,Wie werden diese Konten erstellt? / Sonstiger
PSL_OUTSIDE_APP_ACCOUNT_TYPE_SPECIFY,,,MAYBE_REQUIRED,"Beschreibe, wie diese Konten erstellt werden"
PSL_DATA_TYPES_PERSONAL,PSL_NAME,,MULTIPLE_CHOICE,Personenbezogene Daten / Name
PSL_DATA_TYPES_PERSONAL,PSL_EMAIL,,MULTIPLE_CHOICE,Personenbezogene Daten / E-Mail-Adresse
PSL_DATA_TYPES_PERSONAL,PSL_USER_ACCOUNT,,MULTIPLE_CHOICE,Personenbezogene Daten / Nutzer-IDs
PSL_DATA_TYPES_PERSONAL,PSL_ADDRESS,,MULTIPLE_CHOICE,Personenbezogene Daten / Adresse
PSL_DATA_TYPES_PERSONAL,PSL_PHONE,,MULTIPLE_CHOICE,Personenbezogene Daten / Telefonnummer
PSL_DATA_TYPES_PERSONAL,PSL_RACE_ETHNICITY,,MULTIPLE_CHOICE,Personenbezogene Daten / Ethnische Zugehörigkeit
PSL_DATA_TYPES_PERSONAL,PSL_POLITICAL_RELIGIOUS,,MULTIPLE_CHOICE,Personenbezogene Daten / Politische oder religiöse Überzeugungen
PSL_DATA_TYPES_PERSONAL,PSL_SEXUAL_ORIENTATION_GENDER_IDENTITY,,MULTIPLE_CHOICE,Personenbezogene Daten / Sexuelle Orientierung
PSL_DATA_TYPES_PERSONAL,PSL_OTHER_PERSONAL,,MULTIPLE_CHOICE,Personenbezogene Daten / Sonstige Daten
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_DEBIT_BANK_ACCOUNT_NUMBER,,MULTIPLE_CHOICE,Finanzdaten / Zahlungsinformationen des Nutzers
PSL_DATA_TYPES_FINANCIAL,PSL_PURCHASE_HISTORY,,MULTIPLE_CHOICE,Finanzdaten / Bisherige Käufe
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_SCORE,,MULTIPLE_CHOICE,Finanzdaten / Kreditscoring
PSL_DATA_TYPES_FINANCIAL,PSL_OTHER,,MULTIPLE_CHOICE,Finanzdaten / Andere Finanzdaten
PSL_DATA_TYPES_LOCATION,PSL_APPROX_LOCATION,,MULTIPLE_CHOICE,Standort / Ungefährer Standort
PSL_DATA_TYPES_LOCATION,PSL_PRECISE_LOCATION,,MULTIPLE_CHOICE,Standort / Genauer Standort
PSL_DATA_TYPES_SEARCH_AND_BROWSING,PSL_WEB_BROWSING_HISTORY,,MULTIPLE_CHOICE,Surfen im Web / Browserverlauf
